,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,Navigation,Path type,Description,,3,Reviewers,
,,,PLEASE CHOOSE,NA,,,1,Andy,
,,,Home,Tab,,,2,Jia,
,,,,NA,,,15,Sergei,
,,,------------------------------------------------------------------------,NA,,,,,
,,,,NA,,,,,
,,show: true,Deployment and Operations,Tab,,,,,
,,show: false,Deployment and Operations --> Overview,Page,,,,Who can own?,
,,show: true,Deployment and Operations --> Quick Start Guides,Directory,,,,DX,
,,show: true,Deployment and Operations --> Tyk Open Source API Gateway,Directory,,,,PSAs,
,,show: true,Deployment and Operations --> Tyk Open Source API Gateway --> Overview,Directory,,,,SPMs,
,,show: false,Deployment and Operations --> Tyk Open Source API Gateway --> Getting Started,Page,,,,Leon,
,,show: true,Deployment and Operations --> Tyk Open Source API Gateway --> Installation,Directory,,,,,
,,show: false,Deployment and Operations --> Tyk Open Source API Gateway --> API Gateway Deployment,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Open Source API Gateway --> API Gateway Operations,Page,,,,Path type,
,,show: true,,NA,,,,Tab,
,,show: true,Deployment and Operations --> Tyk Cloud Platform,Directory,,,,Label,
,,show: false,Deployment and Operations --> Tyk Cloud Platform --> Overview,Page,,,,Directory,
,,show: true,Deployment and Operations --> Tyk Cloud Platform --> Getting Started,Directory,,,,Page,
,,show: false,Deployment and Operations --> Tyk Cloud Platform --> Getting Started --> Tyk Cloud Trial,Page,,,,NA,Not available
,,show: false,Deployment and Operations --> Tyk Cloud Platform --> Getting Started --> Licensing and deployment models,Page,,,,Hide,
,,show: false,Deployment and Operations --> Tyk Cloud Platform --> Getting Started --> Hybrid deployment,Page,,,,,
,,show: true,Deployment and Operations --> Tyk Cloud Platform --> Day 0 - Planning Phase,Directory,,,,,
,,show: false,Deployment and Operations --> Tyk Cloud Platform --> Day 0 - Planning Phase --> Availability of infrastructure,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Cloud Platform --> Day 0 - Planning Phase --> User identity,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Cloud Platform --> Day 0 - Planning Phase --> Manage subscriptions and add-ons,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Cloud Platform --> Day 0 - Planning Phase --> Environments and deployments,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Cloud Platform --> Day 0 - Planning Phase --> Teams and users,Page,,,,,
,,show: true,Deployment and Operations --> Tyk Cloud Platform --> Day 1 - Deployment in production,Directory,,,,,
,,show: false,Deployment and Operations --> Tyk Cloud Platform --> Day 1 - Deployment in production --> Deploy features to the Tyk cloud,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Cloud Platform --> Day 1 - Deployment in production --> Enable configuration and workflows between deployments,Page,,,,,
,,show: true,Deployment and Operations --> Tyk Cloud Platform --> Day 2 - Operations,Directory,,,,,
,,show: false,"Deployment and Operations --> Tyk Cloud Platform --> Day 2 - Operations --> Manage, audit and govern cloud infrastructure",Page,,,,,
,,show: false,Deployment and Operations --> Tyk Cloud Platform --> Day 2 - Operations --> Observability of cloud data,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Cloud Platform --> Day 2 - Operations --> Using plugins,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Cloud Platform --> Day 2 - Operations --> Accounts and billing,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Cloud Platform --> Day 2 - Operations --> Troubleshooting and support,Page,,,,,
,,show: true,,NA,,,,,
,,show: true,Deployment and Operations --> Tyk Self Managed,Directory,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Overview,Page,,,,,
,,show: true,Deployment and Operations --> Tyk Self Managed --> Getting Started,Directory,,,,,
,,show: true,Deployment and Operations --> Tyk Self Managed --> Getting Started --> Installation,Directory,,,,,
,,show: true,Deployment and Operations --> Tyk Self Managed --> Getting Started --> Quick Start demos,Directory,,,,,
,,show: true,Deployment and Operations --> Tyk Self Managed --> Getting Started --> Quick Start demos --> Single Region,Directory,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Getting Started --> Quick Start demos --> Single Region --> Tyk & K8s demo,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Getting Started --> Quick Start demos --> Single Region --> Tyk & Docker demo,Page,,,,,
,,show: true,Deployment and Operations --> Tyk Self Managed --> Getting Started --> Quick Start demos --> Multi Region,Directory,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Getting Started --> Quick Start demos --> Multi Region --> Kuberenetes Demo,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Getting Started --> Quick Start demos --> Multi Region --> Docker Demo,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Getting Started --> Quick Start demos --> Multi Region --> Servers/VMs,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Getting Started --> Licensing and deployment models,Page,,,,,
,,show: true,Deployment and Operations --> Tyk Self Managed --> Day 0 - Planning Phase,Directory,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Day 0 - Planning Phase --> Design for high availability and performance,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Day 0 - Planning Phase --> Design for CI/CD,Page,,,,,
,,show: false,"Deployment and Operations --> Tyk Self Managed --> Day 0 - Planning Phase --> Multi-tenancy with Orgs, Teams and Users",Page,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Day 0 - Planning Phase --> Resource sizing,Page,,,,,
,,show: false,"Deployment and Operations --> Tyk Self Managed --> Day 0 - Planning Phase --> Design for compliance (security, data privacy, data residency)",Page,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Day 0 - Planning Phase --> Design for disaster recovery,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Day 0 - Planning Phase --> Design for multiple data centres,Page,,,,,
,,show: true,,NA,,,,,
,,show: true,Deployment and Operations --> Tyk Self Managed --> Day 1 - Deployment in production,Directory,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Day 1 - Deployment in production --> Deploy Tyk components and their dependencies,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Day 1 - Deployment in production -->  Set-up infrastructure monitoring,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Day 1 - Deployment in production --> Set-up GitOps,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Day 1 - Deployment in production --> Secure deployment options,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Day 1 - Deployment in production --> Sending logs to your logging systems,Page,,,,,
,,show: true,,NA,,,,,
,,show: true,Deployment and Operations --> Tyk Self Managed --> Day 2 - Operations,Directory,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Day 2 - Operations --> Monitor Tyk components and their dependencies,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Day 2 - Operations --> Monitoring Upstream Services,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Day 2 - Operations --> Scaling up and down depending on usage/performance,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Day 2 - Operations --> Troubleshoot Tyk components and their dependencies in case of issues,Page,,,,,
,,show: false,"Deployment and Operations --> Tyk Self Managed --> Day 2 - Operations --> Manage plug-ins (install, monitor, update, configure)",Page,,,,,
,,show: false,"Deployment and Operations --> Tyk Self Managed --> Day 2 - Operations --> Manage third party integrations (API observability, observability, ...)",Page,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Day 2 - Operations --> Maintain Tyk configuration,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Day 2 - Operations --> Upgrade Tyk components and their dependencies,Page,,,,,
,,show: true,------------------------------------------------------------------------,NA,,,,,
,,show: true,,NA,,,,,
,,show: true,Managing APIs,Tab,,,,,
,,show: false,Managing APIs --> Overview,Page,,,,,
,,show: true,Managing APIs --> Quick Start Guides,Directory,,,,,
,,show: false,Managing APIs --> Quick Start Guides --> Protect an API using Tyk OSS Gateway,Page,,,,,
,,show: false,Managing APIs --> Quick Start Guides --> Securely deploy a REST API,Page,,,,,
,,show: false,Managing APIs --> Quick Start Guides --> OpenAPI Specification,Page,,,,,
,,show: false,Managing APIs --> Quick Start Guides --> Publish your first API through the Developer Portal,Page,,,,,
,,show: false,Managing APIs --> Quick Start Guides --> Add a Kafka data source,Page,,,,,
,,show: false,Managing APIs --> Quick Start Guides --> Tyk Local Demo library,Page,,,,,
,,show: true,,NA,,,,,
,,show: true,Managing APIs --> Core API Management,Directory,,,,,
,,show: false,Managing APIs --> Core API Management --> Overview,Page,,,,,
,,show: true,Managing APIs --> Core API Management --> Create APIs,Directory,,,,,
,,show: false,Managing APIs --> Core API Management --> Create APIs --> Plan and define APIs,Page,,,,,
,,show: false,Managing APIs --> Core API Management --> Create APIs --> Create APIs,Page,,,,,
,,show: false,Managing APIs --> Core API Management --> Create APIs --> Define access to APIs,Page,,,,,
,,show: false,Managing APIs --> Core API Management --> Create APIs --> Define governance for APIs,Page,,,,,
,,show: false,Managing APIs --> Core API Management --> Create APIs --> Develop APIs,Page,,,,,
,,show: false,Managing APIs --> Core API Management --> Create APIs --> Protect and secure APIs,Page,,,,,
,,show: true,,NA,,,,,
,,show: true,Managing APIs --> Core API Management --> Deploy APIs,Directory,,,,,
,,show: false,Managing APIs --> Core API Management --> Deploy APIs --> Follow governance for APIs,Page,,,,,
,,show: false,Managing APIs --> Core API Management --> Deploy APIs --> Document APIs,Page,,,,,
,,show: false,Managing APIs --> Core API Management --> Deploy APIs --> Test APIs,Page,,,,,
,,show: false,Managing APIs --> Core API Management --> Deploy APIs --> Deploy APIs,Page,,,,,
,,show: true,,NA,,,,,
,,show: true,Managing APIs --> Core API Management --> API Operations,Directory,,,,,
,,show: false,Managing APIs --> Core API Management --> API Operations --> Version APIs,Page,,,,,
,,show: false,Managing APIs --> Core API Management --> API Operations--> Troubleshoot APIs,Page,,,,,
,,show: false,Managing APIs --> Core API Management --> API Operations --> Monitor APIs,Page,,,,,
,,show: false,Managing APIs --> Core API Management --> API Operations --> API Observability,Page,,,,,
,,show: true,,NA,,,,,
,,show: true,Managing APIs --> Publish API Products,Directory,,,,,
,,show: false,Managing APIs --> Publish API Products --> Overview,Page,,,,,
,,show: true,Managing APIs --> Publish API Products --> Deployment,Directory,,,,,
,,show: true,Managing APIs --> Publish API Products --> API Publishing,Directory,,,,,
,,show: false,Managing APIs --> Publish API Products --> API Publishing --> Publish APIs to the portal,Page,,,,,
,,show: false,Managing APIs --> Publish API Products --> API Publishing --> Manage developers and developer audiences,Page,,,,,
,,show: false,Managing APIs --> Publish API Products --> API Publishing --> Portal customization,Page,,,,,
,,show: false,Managing APIs --> Publish API Products --> API Publishing --> Document API Products,Page,,,,,
,,show: false,Managing APIs --> Publish API Products --> API Publishing --> Debug apps and resolve integration issues,Page,,,,,
,,show: true,,NA,,,,,
,,show: true,Managing APIs --> Publish API Products --> API Consumer access,Directory,,,,,
,,show: false,Managing APIs --> Publish API Products --> API Consumer access --> Enable consumers to access API Products,Page,,,,,
,,show: false,Managing APIs --> Publish API Products --> API Consumer access --> Provide self-service debug capabilities to developers,Page,,,,,
,,show: true,,NA,,,,,
,,show: true,Managing APIs --> Publish API Products --> API Product Management,Directory,,,,,
,,show: true,Managing APIs --> Publish API Products --> API Product Management --> Business value reporting,Directory,,,,,
,,show: true,Managing APIs --> Publish API Products --> API Product Management --> API monetization,Directory,,,,,
,,show: true,,NA,,,,,
,,show: true,Managing APIs --> UDG TBC,Directory,,,,,
,,show: false,Managing APIs --> UDG TBC --> Overview,Page,,,,,
,,show: true,Managing APIs --> UDG TBC --> Data Graph Design,Directory,,,,,
,,show: false,Managing APIs --> UDG TBC --> Data Graph Design --> Design UDG schemas / APIs,Page,,,,,
,,show: false,Managing APIs --> UDG TBC --> Data Graph Design --> Manage data sources,Page,,,,,
,,show: true,Managing APIs --> UDG TBC --> Data Graph Management,Directory,,,,,
,,show: false,Managing APIs --> UDG TBC --> Data Graph Management --> Define access to UDG APIs,Page,,,,,
,,show: false,Managing APIs --> UDG TBC --> Data Graph Management --> Test UDG,Page,,,,,
,,show: false,Managing APIs --> UDG TBC --> Data Graph Management --> Monitor / Troubleshoot UDG,Page,,,,,
,,show: false,Managing APIs --> UDG TBC --> Data Graph Management --> Version UDG,Page,,,,,
,,show: false,Managing APIs --> UDG TBC --> Data Graph Management --> Expose as a REST API,Page,,,,,
,,show: true,Managing APIs --> GraphQL --> GQL Federation,NA,,,,,
,,show: true,Managing APIs --> GraphQL --> GQL Federation --> Federated GraphQL,NA,,,,,
,,show: true,,NA,,,,,
,,show: true,------------------------------------------------------------------------,NA,,,,,
,,show: true,,NA,,,,,
,,show: true,Product Stack,Tab,,,,,
,,show: false,Product Stack --> Overview,Page,,,,,
,,show: true,Product Stack --> Tyk Gateway,Directory,,,,,
,,show: true,Product Stack --> Tyk Gateway --> Key Concepts,Directory,,,,,
,,show: true,Product Stack --> Tyk Gateway --> Key Concepts --> Open API Specification,Directory,,,,,
,,show: true,Product Stack --> Tyk Gateway --> Key Concepts --> Open API Specification --> Basic concepts,Directory,,,,,
,,show: true,Product Stack --> Tyk Gateway --> Key Concepts --> Open API Specification --> Advanced concepts,Directory,,,,,
,,show: true,Product Stack --> Tyk Gateway --> Key Concepts --> GraphQL,Directory,,,,,
,,show: true,Product Stack --> Tyk Gateway --> Key Concepts --> Manage multiple Environments,Directory,,,,,
,,show: true,Product Stack --> Tyk Gateway --> Basic Config and Security,Directory,,,,,
,,show: false,Product Stack --> Tyk Gateway --> Basic Config and Security --> Overview,Page,,,,,
,,show: true,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security,Directory,,,,,
,,show: false,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security --> Overview,Page,,,,,
,,show: true,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security --> Authentication and Authorization,Directory,,,,,
,,show: true,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security --> MTLS,Directory,,,,,
,,show: true,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security --> Security Policies,Directory,,,,,
,,show: true,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security --> Authentication and Authorization,Directory,,,,,
,,show: true,Product Stack --> Tyk Gateway --> Basic Config and Security --> Control and Limit Traffic,Directory,,,,,
,,show: true,Product Stack --> Tyk Gateway --> Basic Config and Security --> Reduce Latency,Directory,,,,,
,,show: true,"Product Stack --> Tyk Gateway --> Basic Config and Security --> Report, Monitor and Trigger Events",Directory,,,,,
,,show: true,Product Stack --> Tyk Gateway --> Advanced Configurations,Directory,,,,,
,,show: false,Product Stack --> Tyk Gateway --> Advanced Configurations --> Transform Traffic,Page,,,,,
,,show: true,Product Stack --> Tyk Gateway --> Advanced Configurations --> Integration Options,Directory,,,,,
,,show: true,Product Stack --> Tyk Gateway --> Advanced Configurations --> Integration Options --> 3rd Party Identity Providers,Directory,,,,,
,,show: true,Product Stack --> Tyk Gateway --> Advanced Configurations --> Integration Options --> API Authentication Mode,Directory,,,,,
,,show: true,Product Stack --> Tyk Gateway --> Advanced Configurations --> OpenTracing,Directory,,,,,
,,show: true,Product Stack --> Tyk Gateway --> Advanced Configurations --> Plug-ins,Directory,,,,,
,,show: true,Product Stack --> Tyk Gateway --> Advanced Configurations --> Compose APIs,Directory,,,,,
,,show: true,Product Stack --> Tyk Gateway --> API Documentation,Directory,,,,,
,,show: true,Product Stack --> Tyk Gateway --> API Documentation --> Overview,Directory,,,,,
,,show: true,Product Stack --> Tyk Gateway --> API Documentation --> Tyk Native API Definition,Directory,,,,,
,,show: true,Product Stack --> Tyk Gateway --> API Documentation --> Tyk OAS API definition,Directory,,,,,
,,show: true,Product Stack --> Tyk Gateway --> Environment Variables,Directory,,,,,
,,show: true,Product Stack --> Tyk Gateway --> Troubleshooting,Directory,,,,,
,,show: true,Product Stack --> Tyk Gateway --> Release Notes,Directory,,,,,
,,show: false,Product Stack --> Tyk Gateway --> Release Notes --> Changelog,Page,,,,,
,,show: true,Product Stack --> Tyk Gateway --> Release Notes --> Old releases,Directory,Place for prev releases till we have time to update these pages ,,,,
,,show: true,Product Stack --> Tyk Gateway --> Release Notes --> Release highlights and upgrades,Directory,,,,,
,,show: false,Product Stack --> Tyk Gateway --> Release Notes --> Release highlights and upgrades --> [version],Page,,,,,
,,show: true,,NA,,,,,
,,show: true,Product Stack --> Tyk Manager,Directory,For everything that doesn't belog to a certain section in this category,,,,
,,show: false,Product Stack --> Tyk Manager --> Overview,Page,,,,,
,,show: true,Product Stack --> Tyk Manager --> Advanced Configurations,Directory,,,,,
,,show: true,Product Stack --> Tyk Manager --> Advanced Configurations --> User Management,Directory,,,,,
,,show: true,Product Stack --> Tyk Manager --> Advanced Configurations --> Classic Portal,Directory,,,,,
,,show: true,Product Stack --> Tyk Manager --> Advanced Configurations --> SSO,Directory,,,,,
,,show: true,Product Stack --> Tyk Manager --> Advanced Configurations --> Analytics,Directory,,,,,
,,show: true,Product Stack --> Tyk Manager --> Advanced Configurations --> Security,Directory,,,,,
,,show: true,Product Stack --> Tyk Manager --> API Documentation,Directory,,,,,
,,show: true,Product Stack --> Tyk Manager --> API Documentation -> Dashboard Admin API,Directory,,,,,
,,show: true,Product Stack --> Tyk Manager --> Environment Variables,Directory,,,,,
,,show: true,Product Stack --> Tyk Manager --> Troubleshooting,Directory,,,,,
,,show: true,Product Stack --> Tyk Manager --> Release Notes,Directory,,,,,
,,show: false,Product Stack --> Tyk Manager --> Release Notes --> Changelog,Page,,,,,
,,show: true,Product Stack --> Tyk Manager --> Release Notes --> Old releases,Directory,Place for prev releases till we have time to update these pages ,,,,
,,show: true,Product Stack --> Tyk Manager --> Release Notes --> Release highlights and upgrades,Directory,,,,,
,,show: false,Product Stack --> Tyk Manager --> Release Notes --> Release highlights and upgrades --> [version],Page,,,,,
,,show: true,Product Stack --> Tyk Manager --> Tyk Classic Developer Portal,Directory,,,,,
,,show: true,Product Stack --> Tyk Manager --> Tyk Classic Developer Portal --> Advanced Configurations,Directory,,,,,
,,show: true,Product Stack --> Tyk Manager --> Tyk Classic Developer Portal --> API Documentation,Directory,,,,,
,,show: true,Product Stack --> Tyk Manager --> Tyk Classic Developer Portal --> Environment Variables,Directory,,,,,
,,show: true,Product Stack --> Tyk Manager --> Tyk Classic Developer Portal --> Portal Customisation,Directory,,,,,
,,show: true,Product Stack --> Tyk Manager --> Tyk Classic Developer Portal --> Troubleshooting,Directory,,,,,
,,show: true,Product Stack --> Tyk Manager --> Tyk Classic Developer Portal --> Classic Portal release notes,Directory,,,,,
,,show: true,,NA,,,,,
,,show: true,Product Stack --> Tyk Enterprise Developer Portal,Directory,,,,,
,,show: false,Product Stack --> Tyk Enterprise Developer Portal --> Overview,Page,,,,,
,,show: true,Product Stack --> Tyk Enterprise Developer Portal --> Getting Started,Directory,,,,,
,,show: true,Product Stack --> Tyk Enterprise Developer Portal --> Managing Access,Directory,,,,,
,,show: true,Product Stack --> Tyk Enterprise Developer Portal --> Advanced Configurations,Directory,,,,,
,,show: true,Product Stack --> Tyk Enterprise Developer Portal --> Advanced Configurations --> Portal Customisation,Directory,,,,,
,,show: true,Product Stack --> Tyk Enterprise Developer Portal --> Advanced Configurations --> Portal Customisation --> Full Customisation,Directory,,,,,
,,show: true,Product Stack --> Tyk Enterprise Developer Portal --> API Documentation,Directory,,,,,
,,show: true,Product Stack --> Tyk Enterprise Developer Portal --> Environment Variables,Directory,,,,,
,,show: true,Product Stack --> Tyk Enterprise Developer Portal --> Troubleshooting,Directory,,,,,
,,show: true,Product Stack --> Tyk Enterprise Developer Portal --> Developer portal release notes,Directory,,,,,
,,show: true,,NA,,,,,
,,show: true,Product Stack --> Tyk Enterprise (MDCB),Directory,For everything that doesn't belog to a certain section in this category,,,,
,,show: false,Product Stack --> Tyk Enterprise (MDCB) --> Overview,Page,,,,,
,,show: true,Product Stack --> Tyk Enterprise (MDCB) --> Getting Started,Directory,,,,,
,,show: true,Product Stack --> Tyk Enterprise (MDCB) --> Advanced Configurations,Directory,,,,,
,,show: true,Product Stack --> Tyk Enterprise (MDCB) --> API Documentation,Directory,,,,,
,,show: true,Product Stack --> Tyk Enterprise (MDCB) --> Environment Variables,Directory,,,,,
,,show: true,Product Stack --> Tyk Enterprise (MDCB) --> Troubleshooting,Directory,,,,,
,,show: true,Product Stack --> Tyk Enterprise (MDCB) --> Release Notes,Directory,,,,,
,,show: false,Product Stack --> Tyk Enterprise (MDCB) --> Release Notes --> Changelog,Page,,,,,
,,show: true,Product Stack --> Tyk Enterprise (MDCB) --> Release Notes --> Old releases,Directory,Place for prev releases till we have time to update these pages ,,,,
,,show: true,Product Stack --> Tyk Enterprise (MDCB) --> Release Notes --> Release highlights and upgrades,Directory,,,,,
,,show: false,Product Stack --> Tyk Enterprise (MDCB) --> Release Notes --> Release highlights and upgrades --> [version],Page,,,,,
,,show: true,,NA,,,,,
,,show: true,Product Stack --> Universal Data Graph,Directory,For everything that doesn't belog to a certain section in this category,,,,
,,show: false,Product Stack --> Universal Data Graph --> Overview,Page,,,,,
,,show: true,Product Stack --> Universal Data Graph --> Key Concepts,Directory,,,,,
,,show: true,Product Stack --> Universal Data Graph --> Getting Started,Directory,,,,,
,,show: true,Product Stack --> Universal Data Graph --> Connect Data Sources,Directory,,,,,
,,show: true,Product Stack --> Universal Data Graph --> API Documentation,Directory,,,,,
,,show: true,Product Stack --> Universal Data Graph --> Environment Variables,Directory,,,,,
,,show: true,Product Stack --> Universal Data Graph --> Troubleshooting,Directory,,,,,
,,show: true,Product Stack --> Universal Data Graph --> Technical release notes,Directory,"Not sure we need this section, maybe just ""Release highlights"" also no pages ATM",,,,
,,show: true,,NA,,,,,
,,show: true,Product Stack --> Tyk Pump,Directory,For everything that doesn't belog to a certain section in this category,,,,
,,show: false,Product Stack --> Tyk Pump --> Overview,Page,,,,,
,,show: true,Product Stack --> Tyk Pump --> Getting Started,Directory,,,,,
,,show: true,Product Stack --> Tyk Pump --> API Documentation,Directory,,,,,
,,show: true,Product Stack --> Tyk Pump --> Environment Variables,Directory,,,,,
,,show: true,Product Stack --> Tyk Pump --> Advanced Configurations,Directory,,,,,
,,show: true,Product Stack --> Tyk Pump --> Advanced Configurations --> Configure Data Sinks,Directory,,,,,
,,show: true,Product Stack --> Tyk Pump --> Troubleshooting,Directory,,,,,
,,show: true,Product Stack --> Tyk Pump --> Release Notes,Directory,,,,,
,,show: false,Product Stack --> Tyk Pump --> Release Notes --> Changelog,Page,,,,,
,,show: true,Product Stack --> Tyk Pump --> Release Notes --> Old releases,Directory,Place for prev releases till we have time to update these pages ,,,,
,,show: true,Product Stack --> Tyk Pump --> Release Notes --> Release highlights and upgrades,Directory,,,,,
,,show: true,Product Stack --> Tyk Pump --> Release Notes --> Release highlights and upgrades --> [version],NA,can't do it as the realease number is a variable,,,,
,,show: true,,NA,,,,,
,,show: true,Product Stack --> Tyk Operator,Directory,,,,,
,,show: false,Product Stack --> Tyk Operator --> Overview,Page,,,,,
,,show: true,Product Stack --> Tyk Operator --> Getting Started,Directory,,,,,
,,show: true,Product Stack --> Tyk Operator --> API Documentation,Directory,,,,,
,,show: true,Product Stack --> Tyk Operator --> Environment Variables,Directory,,,,,
,,show: true,Product Stack --> Tyk Operator --> Troubleshooting,Directory,,,,,
,,show: true,Product Stack --> Tyk Operator --> Release Notes,Directory,no pages ATM,,,,
,,show: true,Product Stack --> Tyk Operator --> Release Notes --> Changelog,Directory,,,,,
,,show: true,Product Stack --> Tyk Operator --> Release Notes --> Old releases,Directory,Place for prev releases till we have time to update these pages ,,,,
,,show: true,Product Stack --> Tyk Operator --> Release Notes --> Release highlights and upgrades,Directory,,,,,
,,show: true,Product Stack --> Tyk Operator --> Release Notes --> Release highlights and upgrades --> [version],NA,can't do it as the realease number is a variable,,,,
,,show: true,,NA,,,,,
,,show: true,Product Stack --> Tyk Sync,Directory,For everything that doesn't belog to a certain section in this category,,,,
,,show: false,Product Stack --> Tyk Sync --> Overview,Page,,,,,
,,show: true,Product Stack --> Tyk Sync --> Getting Started,Directory,,,,,
,,show: true,Product Stack --> Tyk Sync --> Advanced Configurations,Directory,,,,,
,,show: true,Product Stack --> Tyk Sync --> API Documentation,Directory,,,,,
,,show: true,Product Stack --> Tyk Sync --> Environment Variables,Directory,,,,,
,,show: true,Product Stack --> Tyk Sync --> Troubleshooting,Directory,,,,,
,,show: true,Product Stack --> Tyk Sync --> Release Notes,Directory,,,,,
,,show: true,,NA,,,,,
,,show: true,Product Stack --> Tyk Identity Broker,Directory,,,,,
,,show: false,Product Stack --> Tyk Identity Broker --> Overview,Page,,,,,
,,show: true,Product Stack --> Tyk Identity Broker --> Getting Started,Directory,,,,,
,,show: true,Product Stack --> Tyk Identity Broker --> API Documentation,Directory,,,,,
,,show: true,Product Stack --> Tyk Identity Broker --> Environment Variables,Directory,,,,,
,,show: true,Product Stack --> Tyk Identity Broker --> Advanced Config,Directory,,,,,
,,show: true,Product Stack --> Tyk Identity Broker --> Troubleshooting,Directory,,,,,
,,show: true,Product Stack --> Tyk Identity Broker --> Release Notes,Directory,Not sure we need this section also no pages ATM,,,,
,,show: true,,NA,,,,,
,,show: true,------------------------------------------------------------------------,NA,,,,,
,,show: true,Developer Support,Tab,For everything that doesn't belog to a certain section in this category,,,,
,,show: false,Developer Support --> Overview,Page,,,,,
,,show: true,Developer Support --> Tyk APIs Reference,Directory,,,,,
,,show: true,Developer Support --> SDK,Hide,,,,,
,,show: true,Developer Support --> CLI,Hide,,,,,
,,show: true,Developer Support --> Debugging Series,Directory,For everything that doesn't belog to a certain section in this category,,,,
,,show: true,Developer Support --> Performance Benchmarking,Directory,,,,,
,,show: true,Developer Support --> Troubleshooting and FAQ,Directory,,,,,
,,show: false,"Developer Support --> Marketplace of plugin, dev repositories and code snippets",Page,,,,,
,,show: true,Developer Support --> Tyk Release Summary,Directory,should consider this to be a page after we release to master,,,,
,,show: true,Developer Support --> Contribute to Tyk Docs,Directory,"after merge to master, rename the only page under it to ""Contribute to Tyk Docs"" and remove the directory since it's only one page",,,,
,,show: true,Developer Support --> Configuration Reference,Directory,should consider this to be a page after we release to master,,,,
,,show: true,------------------------------------------------------------------------,NA,,,,,
,,show: true,,NA,,,,,
,,show: true,APIM Best Practice,Tab,,,4,MK,
,,show: false,APIM Best Practice --> Overview,Page,,,5,Sandeep,
,,show: false,APIM Best Practice --> API Security Best Practice,Page,,,7,Travis,
,,show: false,APIM Best Practice --> API Lifecycle Best Practice,Page,,,9,Yaara,
,,show: false,APIM Best Practice --> API Platform Architectures,Page,,,10,Keith,
,,show: false,APIM Best Practice --> Sector Specific Guides,Page,,,11,Carol,
,,show: false,APIM Best Practice --> API Observability,Page,,,,,
,,show: false,APIM Best Practice --> API Products,Page,,,,,
,,show: false,APIM Best Practice --> APIs as integration,Page,,,12,Agata,
,,show: true,APIM Best Practice --> Creating a PoC,Hide,,,14,Sonja,
,,show: true,,NA,,,15,Sergei,
,,show: true,Page doesn't exists,NA,,,,,
,,show: true,Delete Page,NA,,,,,
,,show: true,Other,NA,,,,,
,,show: true,Copy content to another place,NA,,,,,
,,,----- End of the list -----,NA,,,,,